時間,設備,值
2024-10-26 09:53:27,SA-01/TEMPERATURE,28.45
2024-10-26 09:53:27,SA-01/TEMPERATURE,27.98
2024-10-26 15:25:48,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:48,SA-01/LINE_LEVEL,1
2024-10-26 15:25:48,SA-01/LED_LEVEL,3
2024-10-26 15:25:49,SA-01/TEMPERATURE,34.07
2024-10-26 15:25:50,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:51,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:53,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:53,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:55,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:55,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:56,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:57,SA-01/TEMPERATURE,33.6
2024-10-26 15:25:58,SA-01/TEMPERATURE,26.58
2024-10-26 15:25:59,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:00,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:01,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:02,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:03,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:04,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:05,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:06,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:07,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:08,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:09,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:10,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:11,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:13,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:18,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:18,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:19,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:20,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:21,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:22,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:23,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:24,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:25,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:26,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:27,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:28,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:29,SA-01/TEMPERATURE,34.07
2024-10-26 15:26:30,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:31,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:33,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:33,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:35,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:35,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:36,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:38,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:38,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:39,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:40,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:41,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:44,SA-01/TEMPERATURE,27.04
2024-10-26 15:26:44,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:45,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:46,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:47,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:48,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:49,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:51,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:53,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:55,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:55,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:56,SA-01/TEMPERATURE,27.04
2024-10-26 15:26:57,SA-01/TEMPERATURE,33.6
2024-10-26 15:26:59,SA-01/TEMPERATURE,26.58
2024-10-26 15:26:59,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:00,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:01,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:02,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:03,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:04,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:05,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:06,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:07,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:08,SA-01/TEMPERATURE,27.04
2024-10-26 15:27:09,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:10,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:11,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:12,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:13,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:14,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:16,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:16,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:17,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:19,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:19,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:21,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:21,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:22,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:23,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:24,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:25,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:26,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:27,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:28,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:29,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:30,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:31,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:32,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:33,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:34,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:35,SA-01/TEMPERATURE,34.07
2024-10-26 15:27:36,SA-01/TEMPERATURE,26.58
2024-10-26 15:27:37,SA-01/TEMPERATURE,33.6
2024-10-26 15:27:39,SA-01/TEMPERATURE,26.58
